rank,content
201," I like vending machines because snacks are better when they fall. If I go buy a candy bar in a store, often times I will drop it, so it reaches its maximum flavor potential."
202," I use the word ""totally""way too much. I need to change it to something that's different, but means the same thing. ""Mitch, do you like submarine sandwiches?""""All encompassingly."""
203," You know how they call corn on the cob ""corn on the cob,""right? But that's how it comes out of the ground, man. They should call that ""corn.""They should call every other version ""corn <i>off</i> the cob."""
204," If you have to release bad news to the public, it would help if you are not ugly."
205, I had my palm read. I wrote something on it first to see if she would read that too.
206, People teach their dogs to sit. It's a trick. I've been sitting my whole life. A dog has never looked at me as though he thought I was tricky.
207, Last week I helped my friend stay put. It's a lot easier than helping someone move.
208," People ask me for my autograph after the show. I'm not famous, I think they're fucking with me. They're trying to make me late for something."
209, I don't own a cellphone or a pager. I just hang around everyone I know all the time. 
210," Xylophone is spelled with an ""X"". That's wrong. Xylophone ""Zzz""""X?"". I don't fuckin' see it. It should be a ""Z""up front. Next time you spell xylophone, use a ""Z"". And if someone says ""Hey, that's wrong,""say ""No it ain't."""
211," When I was a boy, I laid in my twin size bed and wondered where my brother was."
212, I got a business card because I want to win some lunches.
213, The only way I could get my old CD into a store is if I would take one in and leave it.
214," I went to the store, bought eight apples. The clerk said, ""Do you want me to put them in a bag?""I said, ""Oh no, man, I juggle. but I can only juggle eight. If I'm ever in here buying nine apples, bag em up."""
215, I met the girl who works at the Double Tree front desk. She gave me her phone number it's zero.
216," I hate sandwiches at New York delis. Too much fuckin' meat on the sandwich. It's like a cow with a cracker on either side. ""What would you like sir?""""A pastrami sandwich.""""Anything else?""""Yeah, a loaf of bread and some other people."""
217, I got a Do Not Disturb sign on my hotel door. It says Do Not Disturb. It's time to go with DON'T disturb. iI's been Do Not for too long.We need to embrace the contraction. 
218," I saw a guy juggling chainsaws. It was cool, but unless something needs to be sawed down, then it's just annoying. It's like, ""Come on, Rick, can we use ONE?"""
219," When I think of a duck's friends, I think of more ducks, right? But, shit, he could have, like, a beaver in tow. "
221," They say the recipe for Sprite is lemon and lime, but I tried to make it at home. There's more to it than that."
222," If you find yourself lost in the woods, fuck it, build a house. ""Well, I was lost, but now I live here. I have severely improved my predicament."""
223, I want to make a vending machine that sells vending machines. It would have to be real fucking big.
224," People think I'm into sports just because I'm a man. I'm not into sports. I mean, I like Gatorade, but that's about as far as it goes. "
225," Imagine being killed by a bow and arrow, that would suck. An arrow killed you? They would never solve the crime. ""Look at that dead guy Let's go <b>that</b> way."""
226," I went to a doctor, all he did was suck blood from my neck. Don't go see doctor Acula."
227," I think they could take sesame seeds off the market and I wouldn't even care. I can't imagine five years from now saying, ""Damn, remember sesame seeds? What happened? All the buns are blank."""
229," I want to get a job naming kitchen appliances. That seems easy, you know? Refrigerator, toaster, blender. You just say what the thing does, then you add ""er."""
230," I get the Reese's candy. If you read that name Reese's, that's an apostrophe S. Reese's apostrophe S on the end of that name. That means the candy bar is his. I didn't know that."
231," The commercial for Diet Dr Pepper says ""It tastes just like regular Dr Pepper""well then they fucked up. "
232," I went to the Home Depot the other day, which was unnecessary I need to go to the Apartment Depot. Which is just a big warehouse with people standing around saying ""Hey, we ain't gotta fix shit."""
233, You can't have seaweed as a house plant because you'd have to water it way too much. 
234, My fake plants died because I did not pretend to water them.
235, I'd hate to be a giraffe with a sore throat. God damn it anyway!
236," I don't have any children, but if I had a baby, I would have to name it, so I would buy a baby naming book or I would invite somebody over who had a cast on. "
237," I got an oscillating fan at my house. The fan goes back and forth it looks like the fan is saying ""No.""So I like to ask it questions that a fan would say ""no""to. ""Do you keep my hair in place?"""
238," I think animal crackers made people think all animals taste the same. ""What does a giraffe taste like?""""A hippopotamus!"""
240," Do you think when the guy came up with the idea to invent a bong, a blacklight popped up over his head?"
241," Now if I was to give a duck bread, I'd give him Pepperidge Farm bread because that shit's fancy. It's wrapped twice. So you open it and it still ain't opened. That's why I don't buy it. I don't need another step between me and toast. "
242, I'd like to see a forklift lift a crate of forks. It'd be so damn literal! You are using that machine to it's exact purpose! 
244," You know when they show someone on TV washing their hair under a waterfall? That's fuckin' bullshit, man. Because that thing would knock you on your ass."
245," There's a commercial on late-night TV for this thing you attach to a garden hose, it says ""You can water your hard to reach plants with this product.""Who the fuck would make their plants hard to reach?! That seems so very mean. "
246," I got a fire alarm at home, but really it's more like a 9-volt battery slowly drainer. ""Do you want to slowly get rid of your 9-volt batteries? Then buy this circle."""
247," I saw a commercial for an above ground pool, it was 30 seconds long. You know why? Because that's the maximum amount of time you can depict yourself having fun in an above ground pool. "
249, I did comedy for a fundraiser once. We were trying to raise money to buy one of those machines that shows how much money has been raised.
251," I was gonna stay overnight at my friends place, he said ""You're gonna have to sleep on the floor."". Damn gravity. You got me again. You know how badly I want to sleep on the wall. "
252, Alcoholism is a disease. But it's like the only disease you can get yelled at for having. 
253," I didn't go to college, but if I did, I would have taken all my tests at a restaurant, because the customer is always right."
254, I want to be a race car passenger. Just a guy who bugs the driver. 
255," When I play the South, they say ""y'all""in the South. They take out the ""O""and the ""U"". So when I'm in the South, I try to talk like that, so people understand me. ""Hello, can I have a bowl of chicken noodle sp."""
256," As an adult, I'm not supposed to go down slides. So if I end up at the top of a slide, I have to act like I got there accidentally. ""How'd I get up here, god damnit?! I guess I have to slide down."""
257," My manager's cool, he gets concerned, he says, ""Mitch, don't use liquor as a crutch.""I can't use liquor as a crutch because a crutch <i>helps</i> me walk. "
258, I remixed the remix it was back to normal.
259," Man, remember that movie <i>The Outsiders</i> and one of the guys name was ""Soda Pop"", and at the time it was cool? It's not cool right now. Your nickname was ""Soda Pop""you would be dead."
260," Seahorses are slow. If I was in the ocean, I would not be a gambler on the horse races  because you would be there fuckin' days. "
261," I was at a restaurant, I saw a guy wearing a leather jacket at the same time he was eating a hamburger and drinking a glass of milk. I said ""Dude, you are a cow. The metamorphosis is complete. Don't fall asleep, I will tip you over."""
262," When I'm on my hotel elevator, I like to pretend that someone else's floor is wrong. Like, if someone gets on and presses 3, I'm like ""You're on three? Hahahaha. Dude, I don't think I can ride with you."""
263," Gel's funny. You wash your hair and then you put gel in it. It's like, it's clean now, let me fuck it back up."
264," I told the crowd last night to fuck off, but then I felt bad, so I said ""All right, fuck back on."""
265, I ran some Evian water through a filter the shit disappeared! It was so fuckin' pure.
266," You know that show ""My Three Sons""? That'd be funny if it was called ""My One Dad""."
267," That would suck if you became a priest and the day came where you had to fight the devil, you'd be like ""Shit, I didn't think that was for real!"""
268," Listerine hurts. Man, when I put Listerine in my mouth, I'm fuckin' angry. Germs do not go quietly."
271," Acid was my favorite drug. Acid opened up my mind, it expanded my mind. Because of acid, I now know that butter is way better than margarine. I saw through the bullshit."
272," I fuckin' hate arrows, man. They try to tell me which direction to go. It's like, ""Fuck you, I ain't going that way, line with two thirds of a triangle on the end!"""
273," I had a job interview at an insurance company once and the lady said ""Where do you see yourself in five years?""I said ""Celebrating the fifth year anniversary of you asking me this question."""
274," Advil has a candy coating. It's delicious. And it says right on the bottle ""Do not have more than two.""Well then do not put a candy coating around it."
275," I travel with a boom box. When I get on a plane, I stuff the power cord for the boom box into the battery compartment. From an outsider's point of view, it looks like I've got it all wrong."